coname,filingdate,filename
ABRAXAS PETROLEUM CORP,20090224,0000867665-09-000017
ABRAXAS PETROLEUM CORP,20100318,0000867665-10-000011
ABRAXAS PETROLEUM CORP,20110316,0000867665-11-000008
ABRAXAS PETROLEUM CORP,20120315,0000867665-12-000010
ABRAXAS PETROLEUM CORP,20130318,0000867665-13-000012
ABRAXAS PETROLEUM CORP,20140317,0000867665-14-000017
"ADAMS RESOURCES & ENERGY, INC.",20090324,0000002178-09-000007
"ADAMS RESOURCES & ENERGY, INC.",20100323,0000002178-10-000008
"ADAMS RESOURCES & ENERGY, INC.",20110321,0000002178-11-000009
"ADAMS RESOURCES & ENERGY, INC.",20120323,0000002178-12-000010
"ADAMS RESOURCES & ENERGY, INC.",20130315,0000002178-13-000014
"ADAMS RESOURCES & ENERGY, INC.",20140313,0000002178-14-000010
Allis Chalmers Energy Inc.,20090309,0000950129-09-000822
Allis Chalmers Energy Inc.,20100309,0000950123-10-022492
Allis Chalmers Energy Inc.,20110315,0001193125-11-067128
"Alon USA Energy, Inc.",20090410,0000950134-09-007330
"Alon USA Energy, Inc.",20100316,0000950123-10-025231
"Alon USA Energy, Inc.",20110315,0000950123-11-025643
"Alon USA Energy, Inc.",20120313,0001325955-12-000010
"Alon USA Energy, Inc.",20130314,0001325955-13-000013
"Alon USA Energy, Inc.",20140314,0001325955-14-000013
AMERICAN OIL & GAS INC,20090316,0001362310-09-003848
AMERICAN OIL & GAS INC,20100315,0000950123-10-024780
ANADARKO PETROLEUM CORP,20090225,0001193125-09-036986
ANADARKO PETROLEUM CORP,20100223,0001193125-10-037173
ANADARKO PETROLEUM CORP,20110223,0001193125-11-043021
ANADARKO PETROLEUM CORP,20120221,0001193125-12-070408
ANADARKO PETROLEUM CORP,20130219,0001193125-13-065430
ANADARKO PETROLEUM CORP,20140228,0000773910-14-000014
"ante4, Inc",20100405,0001104659-10-018269
APACHE CORP,20090302,0000950129-09-000708
APACHE CORP,20100226,0000950123-10-018311
APACHE CORP,20110228,0000950123-11-019900
APACHE CORP,20120229,0001193125-12-086217
APACHE CORP,20130301,0001193125-13-085083
APACHE CORP,20140228,0001193125-14-077668
APCO ARGENTINA INC/NEW,20090316,0000311471-09-000003
APCO OIL & GAS INTERNATIONAL INC,20100312,0000311471-10-000006
APCO OIL & GAS INTERNATIONAL INC,20110310,0000311471-11-000003
APCO OIL & GAS INTERNATIONAL INC,20120229,0000311471-12-000008
APCO OIL & GAS INTERNATIONAL INC,20130308,0000311471-13-000004
APCO OIL & GAS INTERNATIONAL INC,20140307,0000311471-14-000003
Approach Resources Inc,20090313,0000950134-09-005311
Approach Resources Inc,20100312,0000950123-10-024067
Approach Resources Inc,20110311,0000950123-11-024699
Approach Resources Inc,20120312,0001193125-12-108873
Approach Resources Inc,20130228,0001193125-13-084104
Approach Resources Inc,20140225,0001193125-14-067265
ARABIAN AMERICAN DEVELOPMENT CO,20090316,0000007039-09-000002
ARABIAN AMERICAN DEVELOPMENT CO,20100315,0000007039-10-000008
ARABIAN AMERICAN DEVELOPMENT CO,20110318,0000007039-11-000009
ARABIAN AMERICAN DEVELOPMENT CO,20120309,0000007039-12-000003
ARABIAN AMERICAN DEVELOPMENT CO,20130318,0000007039-13-000007
ARABIAN AMERICAN DEVELOPMENT CO,20140314,0000007039-14-000002
ARENA RESOURCES INC,20090302,0001026608-09-000024
ARENA RESOURCES INC,20100301,0001026608-10-000020
ATP OIL & GAS CORP,20090313,0001193125-09-052832
ATP OIL & GAS CORP,20100316,0001193125-10-058628
ATP OIL & GAS CORP,20110316,0001193125-11-068655
ATP OIL & GAS CORP,20120315,0001193125-12-117694
ATWOOD OCEANICS INC,20091125,0000008411-09-000088
ATWOOD OCEANICS INC,20101123,0001140361-10-047001
ATWOOD OCEANICS INC,20111122,0001193125-11-320042
ATWOOD OCEANICS INC,20121119,0000008411-12-000066
ATWOOD OCEANICS INC,20131114,0000008411-13-000127
BAKER HUGHES INC,20090227,0000950129-09-000672
BAKER HUGHES INC,20100226,0000950123-10-017258
BAKER HUGHES INC,20110225,0000950123-11-018883
BAKER HUGHES INC,20120224,0001193125-12-078521
BAKER HUGHES INC,20130213,0000808362-13-000017
BAKER HUGHES INC,20140212,0000808362-14-000007
BASIC ENERGY SERVICES INC,20090309,0000950134-09-004729
BASIC ENERGY SERVICES INC,20100301,0000950123-10-018490
BASIC ENERGY SERVICES INC,20110225,0000950123-11-018755
BASIC ENERGY SERVICES INC,20120224,0001193125-12-077986
BASIC ENERGY SERVICES INC,20130227,0001193125-13-080070
BASIC ENERGY SERVICES INC,20140224,0001109189-14-000029
BERRY PETROLEUM CO,20090225,0000778438-09-000015
BERRY PETROLEUM CO,20100225,0000778438-10-000002
BERRY PETROLEUM CO,20110301,0001047469-11-001586
BERRY PETROLEUM CO,20120228,0000778438-12-000013
BERRY PETROLEUM CO,20130228,0000778438-13-000006
BERRY PETROLEUM CO,20140331,0000778438-14-000009
BILL BARRETT CORP,20090224,0001047469-09-001731
BILL BARRETT CORP,20100223,0001193125-10-037005
BILL BARRETT CORP,20110223,0001193125-11-043180
BILL BARRETT CORP,20120223,0001193125-12-074972
BILL BARRETT CORP,20130222,0001193125-13-070731
BILL BARRETT CORP,20140221,0001172139-14-000028
BJ SERVICES CO,20091123,0001193125-09-240380
BMB MUNAI INC,20090615,0001038838-09-000161
BMB MUNAI INC,20100624,0001038838-10-000223
BMB MUNAI INC,20110629,0001038838-11-000172
BMB MUNAI INC,20120625,0001038838-12-000169
BMB MUNAI INC,20130701,0001038838-13-000260
BOLT TECHNOLOGY CORP,20090903,0001144204-09-047112
BOLT TECHNOLOGY CORP,20100910,0001144204-10-048893
BOLT TECHNOLOGY CORP,20110913,0001144204-11-052788
BOLT TECHNOLOGY CORP,20120914,0001144204-12-051304
BOLT TECHNOLOGY CORP,20130913,0001144204-13-050613
"Bonanza Creek Energy, Inc.",20120322,0001047469-12-003080
"Bonanza Creek Energy, Inc.",20130315,0001047469-13-002777
"Bonanza Creek Energy, Inc.",20140228,0001047469-14-001539
BOOTS & COOTS INTERNATIONAL WELL CONTROL INC,20090312,0001140361-09-006772
"Boots & Coots, Inc.",20100303,0001140361-10-009770
"BPZ RESOURCES, INC.",20090302,0001104659-09-013236
"BPZ RESOURCES, INC.",20100331,0001104659-10-017466
