eventid,url,dates,location,date,text,issue,event
INC 11,http://www.iisd.ca/vol12/1202000e.html,6-17 February 1995,"New York, USA",7 February 1995,"On Monday, delegates agreed that AOSIS could present its draft protocol to the Committee on Wednesday. This protocol, which calls for a reduction of emissions of greenhouse gases by at least 20% by the year 2005, has been the subject of discussion in the corridors and during the intersessional period. It appears as though an agreement has been reached whereupon there will be no negotiation of this protocol until the COP. Although the Chair made the point that the protocol might be discussed during Working Group I""s review of the adequacy of commitments on Wednesday afternoon, few expect much progress at this session.",2,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)
INC 11,http://www.iisd.ca/vol12/1203000e.html,6-17 February 1995,"New York, USA",8 February 1995,"The Climate Action Network has been actively lobbying G-77 countries to endorse the AOSIS draft protocol, which calls for a reduction of emissions of greenhouse gases by at least 20% by the year 2005. Meanwhile, others are trying to convince delegates that such a protocol is unnecessary. The fate of the protocol is still uncertain both within the G-77 and in the Committee as a whole. With so much concern over the adequacy "" or inadequacy "" of commitments, as evidenced by the crowds in Working Group I, many are looking forward to the discussion on this matter.",3,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)
INC 11,http://www.iisd.ca/vol12/1204000e.html,6-17 February 1995,"New York, USA",9 February 1995,"The bidding war is on. Canada, Germany, Switzerland and Uruguay are actively campaigning to be selected as the host for the Permanent Secretariat. While Bonn and Geneva may be the front runners, there is clearly no consensus yet. For Canada, Switzerland and Uruguay a decision at INC-11 would be to their advantage. If a decision is postponed until COP-1, Bonn is clearly the favorite. But then, as one delegate pointed out, there is always the possibility that the decision will be postponed by COP-1 and that Geneva could remain the ""interim"" location for the foreseeable future.",4,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)
INC 11,http://www.iisd.ca/vol12/1205000e.html,6-17 February 1995,"New York, USA",10 February 1995,"As the debate on Joint Implementation (JI) ""heats"" up, divisions between developing countries based on divergent interests and priorities are becoming apparent. It is clear from Article 4(2)(a) of the Convention that JI can take place between Annex I Parties. Discussion on broadening JI to include developing countries was first initiated at INC-8, raising developing countries' concerns about its potential implications and impacts. Developing countries have viewed JI with varying degrees of skepticism and caution. Concerns have once again been expressed that Annex I Parties should not use JI as a means to avoid meeting their current commitments under the Convention and that JI agreements should not substitute for funding mechanisms under the Convention. However, the position of some developing countries appears to be changing. There are those who favor limiting the JI pilot phase only to Annex I Parties and others who are more amenable to the voluntary and equitable participation of developing countries. There appears to be some agreement among developing countries that the thorny problem of the allotment of greenhouse gas abatement credits and a ""baseline"" be excluded from the pilot phase.",5,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)
INC 11,http://www.iisd.ca/vol12/1206000e.html,6-17 February 1995,"New York, USA",13 February 1995,"It appears as though governments that want to host the Permanent Secretariat have not limited themselves to lobbying other governments. In an interesting role reversal, some government delegates are lobbying NGOs for their support. In the end, however, it will be the governments' decision. As of Friday, consensus had not emerged. The current tally, according to Plenary statements, is: Bonn (2); Geneva (4); Toronto (1); Montevideo (0); and undecided (3).",6,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)
INC 11,http://www.iisd.ca/vol12/1209000e.html,6-17 February 1995,"New York, USA",16 February 1995,"The OPEC countries are actively lobbying for an amendment to the Rules of Procedure on the composition of the Bureau. Their proposed amendment for Rule 22 (Officers) would add a member of the Bureau from the oil exporting developing countries, to complement the member from the small island developing States. Although this amendment lacks consensus, some delegates fear that it will not be withdrawn and, as a result, the final compromise might have negative implications for their group.",9,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)
INC 11,http://www.iisd.ca/vol12/1210000e.html,6-17 February 1995,"New York, USA",17 February 1995,"The Contact Group discussing the physical location of the Permanent Secretariat met Thursday afternoon with the representatives of the four countries offering to host the Secretariat - Canada, Germany, Switzerland and Uruguay. While some members of the Group said they had made progress, it appeared as though the Contact Group was not yet in a position to make a recommendation to the Plenary on this matter. It seems that a number of delegations do not have instructions from their capitals on location preferences, should this matter come to a vote on Friday. If the INC is not able to make a recommendation to the COP, it is likely that the decision will not be taken at COP-1. In that case, it may be some time before the Permanent Secretariat has a permanent home.",10,Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)
COP 1,http://www.iisd.ca/vol12/1213000e.html,28 March - 7 April 1995,"Berlin, Germany",29 March 1995,"Environmental NGOs expressed surprise and disappointment that they were not allowed access to the main floor of the Plenary and the COW. Several NGO representatives said that this lack of access to delegates had not been the customary practice in meetings of the INC, particularly given the contribution of environmental NGOs to the work of the Convention. A group of NGOs plan to appeal to the President and the Executive- Secretary to reconsider this matter.",13,First Conference of the Parties to the Framework Convention on Climate Change
COP 1,http://www.iisd.ca/vol12/1214000e.html,28 March - 7 April 1995,"Berlin, Germany",30 March 1995,"While the COW has focused on adequacy of commitments, there is still lobbying in the corridors on the location of the Permanent Secretariat. The Mayor of Bonn invited delegates to a lunchtime Zusammenkunft to discuss the benefits of moving the Secretariat to Bonn. Meanwhile, according to some estimates, the staff costs in Toronto would be lower than Geneva, Bonn or Montevideo. While it appeared as though Geneva was the front-runner at INC-11, the lobbying may be far from over.",14,First Conference of the Parties to the Framework Convention on Climate Change
COP 1,http://www.iisd.ca/vol12/1216000e.html,28 March - 7 April 1995,"Berlin, Germany",3 April 1995,"Consultations abound in the corridors and offices of the ICC. Amb. Estrada has been holding one-on-one informal consultations on joint implementation. By Saturday afternoon, it was still uncertain whether delegates would be able to reach consensus on a JI pilot phase or if Estrada would be able to produce a Chair's text or summary. Estrada informed delegates during the Saturday afternoon COW that these negotiations were moving ""very slowly,"" and that he did not expect to begin further consultations until the G-77 and China had been given additional time to condider the adequacy of commitments. Estrada has also been consulting with delegates from the four countries who wish to host the Permanent Secretariat (Canada, Germany, Switzerland and Uruguay) to try to reach agreement on a method to use to resolve this pending issue.  The Germans continued their consultations with delegates about the Rules of Procedure. Although some delegates had called for agreement on the Rules of Procedure by the end of the first week of the COP, this has not been the case and it appears likely that consultations will continue into the second week. The two major outstanding issues are voting procedures and the allocation of seats on the Bureau. While a linkage between these rules was resisted at INC-11, the impending arrival of ministers may encourage delegates to reconsider.",16,First Conference of the Parties to the Framework Convention on Climate Change
