official,office,fonction,direction,date,lobby,lobby_id,subject,location,canceled,source
Jean-Claude Juncker,President,Commissioner,,2015-11-05,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken (BVR),22330076571-75,Address to the Wirtschaftstag of the Volksbanken Raiffeisenbanken "Prosperity – Liberty – Security: Scenarios for a Changing World","Germany, Franfurt am Main",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-10-29,ΣΕΒ σύνδεσμος επιχειρήσεων και βιομηχανιών (ΣΕΒ (SEV)),59395037733-93,Meeting with Mr Theodoros Fessas on Economic Situation in Greece,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-10-12,British Bankers' Association (BBA),5897733662-75,Meeting with senior bank representatives on current financial regulation issues,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-10-01,ENGIE (ENGIE),90947457424-20,Meeting with Mr Etienne Davignon on political priorities of this Commission,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-29,EUROPEAN TRADE UNION CONFEDERATION (ETUC),06698681039-26,Opening speech at the Congress of the European Trade Union Confederation,"Paris, France",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-22,Atomium Culture (AC),604316917419-28,"Meeting with Mr d'Estaing, Mr Bonvicini and Ms Widegren on the REIsearch initiative","Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-22,Confédération Française Démocratique du Travail (CFDT),584162614015-63,Meeting with Mr Laurent Berger on Economic and Social Agenda,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-21,Ενωση Περιφερειων Ελλαδας (ΕΝΠΕ),072659518836-70,"Meeting with Mr Konstantinos Agorastos on the situation in the Greek Regions, the European Fund for Strategic Investments and EU structural funds","Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-17,CAISSE DES DEPOTS (CDC),84606487324-44,Meeting with Mr Pierre-René Lemas on the European Fund for Strategic Investments and the activities of national promotional banks,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-17,Association des maires de France (AMF),570043718684-31,Meeting with Mr François Baroin on Investment Plan for Europe,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
