id,contact_country,sub_category,acronym,name,main_category,cost_min,cost_max,cost_absolute,fte,code,status,accredited
fffebd3272294bb0a38d0347b0e0c4df,59,26,BAT,"Bygge-, Anlægs- og Trækartellet",2,,,150000,2,18539199654-93,active,
ffdb86d0032b4bdf8682ff4cc908bf48,108,31,WMI,Associazione Wikimedia Italia,3,,9999,,0.25,070762412733-39,active,1
ffaa55befc9b477bb35bd635bf458c3c,108,26,,CONFAGRICOLTURA EMILIA-ROMAGNA,2,10000,24999,,1,36395803420-35,active,
ff919bf968eb498bb7af62a1494a49d1,39,31,Michel Abdelahad,Michel Abdelahad,3,,9999,,0.5,90135938437-51,active,
ff802d6280874fb08e132d662e46f18e,108,25,FIPI,FEDERAZIONE ITALIANA PICCOLE IMPRESE,2,,9999,,1,681912015411-37,active,
ff724deeeaf8408a9ff65a58e605d552,105,31,IDEA,Irish Doctors Environmental Association,3,,9999,,2.5,115584716819-62,active,
ff6ce8c03aee44788ce83a6544cdbb4c,82,25,EUROM,"European Federation of Precision, Mechanical and Optical Industries",2,,9999,,0.5,585778511937-68,active,
ff6ba0bcb497410fa406c9794206bf37,177,31,ECNAIS,European Council of National Associations of Independent Schools,3,,9999,,0.25,153452315640-05,active,
ff698260d45047178a5e8775547815bc,105,21,daa,daa plc,2,,9999,,6.25,64031768679-71,active,
ff5e850d10a34a8d9e0b6772f68050b2,82,51,SGI EBA,SGI Europe Buddhist Association,5,,9999,,0.5,828340313721-55,active,
ff5de8e3812e48caa9147bed2f17c2d3,233,21,,TransferWise Ltd,2,10000,24999,,0.25,843309518020-96,active,
ff4ffaee340a4512af726094b4ef145d,209,11,ENERTIKA,INGENIERIA Y SERVICIOS DE EFICIENCIA ENERGETICA S.L.,1,,,,0.5,580103617803-87,,
ff3f0e3bc4824efaad758a4b11912dd7,233,31,IAS,Institute of Alcohol Studies (UK),3,10000,24999,,1,150480218577-06,active,
ff3d3f236e4747af9fc50ff58ddb4377,233,31,MEC,Middle East Concern,3,,9999,,0.25,814728213659-93,active,2
ff3855a7d5c54d27947ce7773f6b3357,82,21,EWE AG,EWE Aktiengesellschaft,2,700000,799999,,3,00741337988-18,active,3
ff2e01dcb4264779be6aad1d601392b7,176,25,Sygnał,Stowarzyszenie Sygnał,2,,,166250,1,208598218249-90,active,
ff2dcae924f245828146c2bb86178fde,21,13,,,1,,,,1,520259613506-88,,
ff2c0482fa3f45f2a7f6b111849f11a9,233,13,,Somerco,1,,9999,,0.25,035508519773-34,active,
ff1152a3aa88470388abb9d823c78a3d,234,25,NAMI,North American Meat Institute,2,,,0,0.25,863092419193-72,active,
ff0fb4adff974d2aa5b69dae56b23639,209,11,,"Deloitte, S.L.",1,10000,24999,,1,727712916372-77,active,
ff04fc2f7330408a9b773b91b8272c86,21,31,EFQM,EFQM European Foundation for Quality Management,3,,,3000,0.25,409256516428-39,active,
fefa665da246486fa7b4d6f8fd7a3c5a,234,21,,YCF Maritime LLC,2,,9999,,0.25,128313216890-32,active,
feed2f70644144b48b258eafe5efae0c,82,25,BfT,Bundesverband fuer Tiergesundheit,2,25000,49999,,1.25,369699114231-49,active,
feec5f95637641aa83f9fa5076cd259d,59,25,DEA,Danish Electric Vehicle Alliance,2,,9999,,0.25,583653114856-56,active,2
fee73f7916f94c36b2f90c4e1b294a51,108,31,APK,Amigos do Protocolo de Kyoto,3,,,,2,82132839724-37,,
fedf6bda46184c118b81b1950746a169,155,21,Pl. EDV,Platform Engbertsdijksvenen,2,,,1200,1,020890017437-27,active,
fed17c17924045649b1e30abb8afd3f3,108,13,Studio Lettini,Lettini Giuseppe,1,,9999,,0.75,731027919621-04,active,
