status,unregistered,guest,title,participants,cabinet,guestid,host,date,id,guest_contact_country,guest_code,guest_name,guest_cost_min,guest_main_category,guest_acronym,guest_accredited,guest_cost_max,guest_fte,guest_cost_absolute,guest_id,guest_sub_category
registered,,,Meeting with Kofi Annan,1,,5b4ed4cd883b4e5fb3d8c2dfe6cbbe12,President Jean-Claude Juncker,2015-03-24T00:00:00,8ffd8f641fdf304c8978f9b98a9be797,215,961873216116-63,Kofi Annan Foundation,,3,,,,0.5,454000,5b4ed4cd883b4e5fb3d8c2dfe6cbbe12,31
registered,,,Meeting with Bernadette Segol - General Secretary ETUC,1,,98893fe0d2554088b253b817a47f535b,President Jean-Claude Juncker,2015-03-23T00:00:00,b6ff9166366dec9517444a59182cb4a2,21,06698681039-26,EUROPEAN TRADE UNION CONFEDERATION,1000000,2,ETUC,6,1249999,18.75,,98893fe0d2554088b253b817a47f535b,26
registered,,,Meeting with George Soros,1,,fa3ba49879924f28b3fc557c7150c775,President Jean-Claude Juncker,2015-03-20T00:00:00,87a66decb40d28c8c10465779f08f329,21,8557515321-37,Open Society European Policy Institute,2250000,3,OSEPI,10,2499999,19.75,,fa3ba49879924f28b3fc557c7150c775,31
registered,,,Speaker at BDI (German industry federation) gala dinner,1,,1697453d55314bb3b62f74187f1a1c48,President Jean-Claude Juncker,2015-03-02T00:00:00,09b1333a0f3f09918df8835789505b14,82,1771817758-48,Bundesverband der Deutschen Industrie e.V.,2500000,2,BDI,8,2999999,28.75,,1697453d55314bb3b62f74187f1a1c48,25
registered,,,Receives CEOs of European Publisher Groups,1,,85a8f63925ff4982b3637cd7809fb751,President Jean-Claude Juncker,2015-02-26T00:00:00,51e37fe13348c91aae9dae249984c876,233,4456380381-30,European Publishers Council,400000,2,EPC,,499999,3.25,,85a8f63925ff4982b3637cd7809fb751,25
registered,,,Migration issues,1,Cabinet members of President Jean-Claude Juncker,17e8980cd66144c5a73ff6650989859b,Carlo Zadra,2015-04-29T00:00:00,097d4787cee7b877b7182a693c91aed5,21,14074813668-09,International Organization for Migration,200000,6,IOM,2,299999,38.5,,17e8980cd66144c5a73ff6650989859b,66
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,6cf7ccd94bb44023a57a593d0f7d9abc,Pauline Rouch,2015-04-22T00:00:00,dd6e2fb7186e91d15b7ae9f10475126d,75,534834216948-42,Hachette Livre,,2,,,9999,0.25,,6cf7ccd94bb44023a57a593d0f7d9abc,21
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,d1baa5d7d8114fe08132ff535db469fc,Pauline Rouch,2015-04-21T00:00:00,2fe86ca7dacadd4469532bcab6fe710a,233,53905947933-43,European Digital Media Association,100000,2,,3,199999,3,,d1baa5d7d8114fe08132ff535db469fc,26
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,5fe9b766e9604516a4150ba04960fc36,Pauline Rouch,2015-04-21T00:00:00,cd8c2f57797b603102daa8b3d22edc82,21,99336382936-11,Society of Audiovisual Authors,300000,2,SAA,3,399999,3.25,,5fe9b766e9604516a4150ba04960fc36,21
registered,,,"Jobs and Growth agenda, Capital Markets Union",1,Cabinet members of President Jean-Claude Juncker,13c5a434e5a04e428a83491c7199bd47,Paulina Dejmek Hack,2015-04-16T00:00:00,57bc5b1cdd2fe5713e44b50042d73d6a,233,5897733662-75,British Bankers' Association,2250000,2,BBA,2,2499999,11.75,,13c5a434e5a04e428a83491c7199bd47,25
