ID,Name,Url,Office,Fonction,Direction
1,Jean-Claude Juncker,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2,President,Commissioner,
2,Frans Timmermans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f,Better Regulation,Commissioner,
3,Federica Mogherini,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6e27e5b2-65cf-4733-99b1-0a5e094088c1,External Action,Commissioner,
4,Kristalina Georgieva,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e,Budget,Commissioner,
5,Andrus Ansip,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac,Digital Single Market,Commissioner,
6,Maroš Šefčovič,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=a7c58a45-8006-46df-9f12-b80ff5b34a1f,Energy Union,Commissioner,
7,Vladis Dombrovskis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=12405586-0ba8-4a54-94ae-12e8daeb7b26,Euro & Social Dialogue,Commissioner,
8,Jyrki Katainen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=d4efd679-b6bf-4ef8-a077-a041991378c7,"Jobs, Growth, Investment and Competitiveness",Commissioner,
9,Günther H. Oettinger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f24e4f06-d181-4f58-9604-3aaf3ce391ea,Digital Economy,Commissioner,
10,Johannes Hahn,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=92703759-b346-49b5-83ac-edf2bbe01d2f,Neighbourhood,Commissioner,
11,Cecilia Malmström,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=fdf6c08d-54d1-4524-aa70-1287c34ceb4d,Trade,Commissioner,
12,Neven  Mimica,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=682fd8b6-7fce-4fba-91af-525e4a9cbf52,Development,Commissioner,
13,Miguel Arias Cañete,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=523060f7-97c6-480b-8bb9-30bb409e650e,Climate & Energy,Commissioner,
14,Karmenu Vella,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f92a74d6-757c-46fd-8042-2564cc3d763f,Environment,Commissioner,
15,Vytenis Andriukaitis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=a980459e-c697-49b1-9713-5c5034a26cdc,Health,Commissioner,
16,Dimitris Avramopoulos,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1b4b07a3-f945-456c-a005-6546de4bf468,Home Affairs,Commissioner,
17,Marianne Thyssen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=3aaa2b0d-1706-495f-9c93-7f939888afb2,Employment,Commissioner,
18,Pierre Moscovici,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=af65fb60-5ba8-4af1-87ae-edab5dac6afa,Economics and Tax,Commissioner,
19,Christos Stylianides,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=7a3ad6a0-2fdd-4656-8462-85f57d9a8c54,Humanitarian Aid,Commissioner,
20,Phil Hogan,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=55ddae5a-33fa-40b4-87b4-8815e503dc26,Agriculture,Commissioner,
21,Jonathan Hill,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ebb93164-c494-436e-b965-e367adbcae32,Financial Markets,Commissioner,
22,Violeta Bulc,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8d390599-609a-4464-b941-6815b1228b44,Transport,Commissioner,
23,Elżbieta Bieńkowska,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e8354e80-dd05-4cb8-ba46-0dbb02ee2d88,Internal Market,Commissioner,
24,Věra Jourová,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=cc463fab-bfff-4595-bb45-6d0af96b5e83,Justice,Commissioner,
25,Tibor Navracsics  ,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=bba8a7ac-cad1-4ac5-815a-1abdff5f51b1,Education,Commissioner,
26,Corina Creţu,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=aa125a9c-d202-490d-865e-758d5df2f01d,Regional Policy,Commissioner,
27,Margrethe Vestager,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=46942686-5de0-426c-9d77-decc4e003a84,Competition,Commissioner,
28,Carlos Moedas,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=375218b1-5b9b-4f1f-8701-cda656622c9a,Research,Commissioner,
29,Jean-Claude Juncker,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=91b45ce8-2ff0-4e67-b5b5-b42151217f13,President,Commissioner's Cabinet,
30,Frans Timmermans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f3715246-e6ff-4856-b9d8-1ed4f86738b7,Better Regulation,Commissioner's Cabinet,
31,Federica Mogherini,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b6c0bf49-dbd0-4884-af38-d0da75bc6395,External Action,Commissioner's Cabinet,
32,Kristalina Georgieva,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=bd40b1da-482e-472a-8d00-fcb21ed47880,Budget,Commissioner's Cabinet,
33,Andrus Ansip,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=cd3770a0-4fb5-4e79-a343-072b167456b3,Digital Single Market,Commissioner's Cabinet,
34,Maroš Šefčovič,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=dea9b479-804b-4eb7-92cd-f0ebc6a445d1,Energy Union,Commissioner's Cabinet,
35,Vladis Dombrovskis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e6418b8f-9cc0-44ab-9818-a40997dea82e,Euro & Social Dialogue,Commissioner's Cabinet,
