url|pdf_filename|symbol|title|authors|pdf_url|pdf_language|abstract|meeting|doctype|topics|keywords|countries|pubdate|year
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007292|FCCC-CP-2012-L.14-Rev.1.pdf|FCCC/CP/2012/L.14/Rev.1|Outcome of the work of the Ad Hoc Working Group on Long-term Cooperative Action under the Convention. Revised proposal by the President.|UNFCCC. Conference of the Parties (COP)|http://unfccc.int/resource/docs/2012/cop18/eng/l14r01.pdf|EN||Conference of the Parties (COP), Eighteenth session, 26 November - 7 December 2012, Doha, Qatar|meeting papers||Bali Action Plan;capacity building;emission reduction;financial resources;mitigation;science and technology;technology transfer||2012-12-08|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007295|FCCC-CP-2012-L.17.pdf|FCCC/CP/2012/L.17|Report of the Green Climate Fund to the Conference of the Parties and guidance to the Green Climate Fund. Proposal by the President.|UNFCCC. Conference of the Parties (COP)|http://unfccc.int/resource/docs/2012/cop18/eng/l17.pdf|EN||Conference of the Parties (COP), Eighteenth session, 26 November - 7 December 2012, Doha, Qatar|meeting papers|finance|Green Climate Fund;mitigation||2012-12-08|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007277|FCCC-AWGLCA-2012-L.4.pdf|FCCC/AWGLCA/2012/L.4|Outcome of the work of the Ad Hoc Working Group on Long-term Cooperative Action under the Convention. Draft conclusions proposed by the Chair.|UNFCCC. Ad hoc Working Group on Long-term Cooperative Action under the Convention (AWG-LCA)|http://unfccc.int/resource/docs/2012/awglca15/eng/l04.pdf|EN||Ad Hoc Working Group on Long-Term Cooperative Action under the Convention (AWGLCA), Fifteenth session (second part), 26 November - 7 December 2012, Doha, Qatar|meeting papers||adaptation to climate change;Bali Action Plan;capacity building;financial resources;mitigation;technology transfer;work programme||2012-12-07|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007273|FCCC-KP-CMP-2012-L.8.pdf|FCCC/KP/CMP/2012/L.8|Report of the Adaptation Fund Board. Proposal by the President.|UNFCCC. Conference of the Parties serving as the meeting of the Parties to the Kyoto Protocol (CMP)|http://unfccc.int/resource/docs/2012/cmp8/eng/l08.pdf|EN||Conference of the Parties serving as the meeting of the Parties to the Kyoto Protocol (CMP), Eighth session, 26 November - 7 December 2012, Doha, Qatar|meeting papers|Adaptation Fund|Adaptation Fund Board;budget contributions;certified emission reductions;trust funds||2012-12-06|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007259|FCCC-CP-2012-L.2.pdf|FCCC/CP/2012/L.2|National adaptation plans. Proposal by the President.|UNFCCC. Conference of the Parties (COP)|http://unfccc.int/resource/docs/2012/cop18/eng/l02.pdf|EN||Conference of the Parties (COP), Eighteenth session, 26 November - 7 December 2012, Doha, Qatar|meeting papers|national adaptation plans|financial assistance||2012-12-05|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007246|FCCC-SBI-2012-L.53-Rev.1.pdf|FCCC/SBI/2012/L.53/Rev.1|Work of the Consultative Group of Experts on National Communications from Parties not included in Annex I to the Convention. Revised draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l53r01.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|national communications|adaptation assessment;Africa;Asia and the Pacific;emission inventories;mitigation;vulnerability assessment||2012-12-03|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007208|FCCC-SBI-2012-L.34.pdf|FCCC/SBI/2012/L.34|Forum and work programme on the impact of the implementation of response measures. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l34.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|impacts of implementation of response measures|adaptation to climate change;implementation;work programme||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007213|FCCC-SBI-2012-L.35.pdf|FCCC/SBI/2012/L.35|Matters relating to the least developed countries. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l35.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|LDC Expert Group (LEG)|GEF;LDC Fund;least developed countries||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007225|FCCC-SBI-2012-L.41.pdf|FCCC/SBI/2012/L.41|National adaptation plans. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l41.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|national adaptation plans|Adaptation Committee;LDC Fund;least developed countries;LEG;Nairobi work programme;Special Climate Change Fund||2012-12-01|2012
http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007230|FCCC-SBI-2012-L.44.pdf|FCCC/SBI/2012/L.44|Approaches to address loss and damage associated with climate change impacts in developing countries that are particularly vulnerable to the adverse effects of climate change to enhance adaptive capacity. Draft conclusions proposed by the Chair.|UNFCCC. Subsidiary Body for Implementation (SBI)|http://unfccc.int/resource/docs/2012/sbi/eng/l44.pdf|EN||Subsidiary Body for Implementation (SBI), Thirty-seventh session, 26 November - 1 December 2012, Doha, Qatar|meeting papers|loss and damage|adverse effects of climate change;developing countries;natural disasters;work programme||2012-12-01|2012
