id,title,creator,publisher,date,year,language,type,format
"782850505","Wine Label - Great Western Winery, Red Hermitage, 'Perthonia-Red', 1905-1918",,"Museum Victoria",,,"und","Image",
"661899462","Hermitage 11th century : Thibet ",,,,,"und","Sound",
"767390347","Vallée du Rhône : Côte Rôtie, Saint-Joseph, Hermitage.",,,,,"und","Collection",
"821373579","Leaf from T'oros Roslin Gospels",,,"Provided by ARTstor",,"und","Collection",
"891976273","Shrine Church, Our Lady of Consolation, Carey, Ohio",,"Hermitage Art Company, Chicago",,,"und","Collection","3.5 x 5.5|Postcard"
"856012467","Residences",,"University of Southern Indiana","December 1992","1992","eng","Collection",
"704949906","Mt. Cook for Easter. (South Island). -- Height of Delight for your Holidays. The cosy Hermitage (a fully-licensed hotel) is famous as the Alpine social centre. Take Nature's tonic in the Alpine Wonderland thousands of feet above worry level. Have the healthful happiness which lengthens life. See the greatest glaciers of the world's temperate zones. See the huge Hochstetter Ice-Fall. See the Marvellous Ice Caves which are like storied crystal palaces of fairyland. All manner of delightful side-trips amid enchanting scenes. Mount Cook, whose jewelled triple tiara gleams 12,349 ft. above the sea, one of the world's most majestic mountains, has a splendid retinue of noble peaks. Here, too, are stupendous glaciers far larger than the biggest “ice-rivers” of the Swiss Alps, and the way is easy to these huge courses of sparkling crystal. Everything in this bright realm of enchantment is on the gigantic scale: everything pleases; everything puts humanity on a high plane of exhilaration. -- Full details from Offices and Agencies. -- Mt. Cook and Southern Lakes Tourist Coy",,"New Zealand Government Railways Department",,,"und","Image",
"501658725","First Exhibition from the Hermitage Stores, ""West European Landscape: XVI-XX centuries : Painting Engraving, Drawing, Applied Art.""",,,,,"eng","Text","44 p. : ill. ; 22 cm."
"68849082","Slide Collection - Street Scene, Sixth Avenue North at Union Street",,,,,"eng","Image","Slide 35 mm."
"821391136","Romance of Lancelot du Lac (branches 3. Lancelot; 4. Queste; 5. Mort Artu).",,,"Provided by ARTstor",,"und","Collection",
"757948870","Impressionism and Post-Impressionism : The Hermitage, Leningrand, the Pushkin Museum of Fine Arts, Moscow, and the National Gallery of Art, Washington / M. Bessonova, W.J. Williams.",,"Nueva York, EUA : Park Lane","1989|1986","1989","eng","Text",
"782858204","Medal - Warrnambool Industrial &amp; Art Exhibition, Silver, Victoria, Australia, 1896-1897",,"Museum Victoria",,,"und","Image",
"45676232","State Hermitage Museum: Collection Highlights: Prehistoric Art",,,,,"eng","Text",
"694797515","?Postmortemism??: Malcolm Bradbury's Legacy in To the Hermitage",,,,,"fre","Collection",
"854809128","Centennial Sketches: Decorative Work in Iron; A Memory of The Hermitage; Japanese Dwarf Pine-Tree",,,"November 18, 1876","1876","eng","Image",
"745886546","Hermitage H. C. Hunt's summer camp east front. (An old man sits in a rocking chair underneath a tree, beside a rustic cabin with wraparound porch filled with chairs and hammocks.)",,"University of Louisville","188-? - 19--?",,"eng","Collection",
"712382718","Antiquités du Bosphore Cimmérien: conservées au Musée Impérial de l'Ermitage",,"Universitätsbibliothek Heidelberg","1854","1854","fre",,
"777668376","Hotel Hermitage P.3|No. 9163",,"Utah State Historical Society",,,"und","Image","7.4 inches x 9.3 inches"
"831295681","Oeuvres complètes de Diderot : revues sur les éditions originales; compr. ce quiaété publ. à div. époques et les mss. inéd. conservés à la Bibliothèque de l'Ermitage; notices, notes, tables analytiques; étude sur Diderot et le mouvement philosophique au ... XVIIIe siècle 2",,,,,"und","Text","530 S"
"782858328","Medal Group &amp; Fob - Bendigo Agricultural &amp; Horticultural Society Gold Prizes, Five Medals on Fob Chain, Victoria, Australia, 1892-1901",,"Museum Victoria",,,"und","Image",
"639047813","Hermitage Museum",,"Art, Architecture and Engineering Library, Lantern Slide Collection",,,"UND",,"Cultural Buildings; Hamburg-Sudamerikanische Dampfschifffahrts-Gesellschaft; General view"
"636349838","Sesto non-senso. Sonata da camera. Récréation concertante. Inni sacri. Noche oscura ","Petrassi, Goffredo.","Ermitage",,,"und","Sound","1 CD."
"50200142","[Letter] 1831 Feb. 6, Nashville [to] Susan Gallagher, Bangor Maine","Snowden, Baynard J.",,"2002","2002","eng",,"4 p. /leaves."
"535146231","Yokobue|Nihon Meijo Banashi: Yokobue",,"Ruth Chandler Williamson Gallery, Scripps College","circa 1893","1893","jpn",,
"748085978","Anti-suffragists working at the Anti-Ratification Headquarters, Hermitage Hotel",,,,,"eng","Collection",
"765034110","Jardin potager à l'Hermitage",,,,,"und","Collection",
"693094906","[Fig. p.384 : objets de l'ermitage abandonnés par ses occupants.] [cote microfilm : m 2344/R 52530]",,,,,"und","Image",
"500073886","Hermitage.",,"s.n","n.d.]",,"eng","Text",
"772586920","Mourning Ribbon for Andrew Jackson.",,,"June 8th, 1845","1845","eng","Text","3' x &amp; 7 5/8'"
"821528020","Coteau de l'Hermitage, Pontoise",,,"Provided by ARTstor",,"und","Collection",
"821391845","Romance of Lancelot du Lac (branches 3. Lancelot; 4. Queste; 5. Mort Artu).",,,"Provided by ARTstor",,"und","Collection",
"711504445","Le sanctuaire de la Combe de l'Ermitage à Collias (Gard)",,,,,"FRE","Text",
"61289338","Hermitage Plantation",,,,,"zxx","Image",
"778274302","Finding Aid for the William B. Lewis Letter to Andrew Jackson MS.3332",,"The University of Tennessee Libraries, Knoxville",,,"und","Collection",
"695070988","Monasteriola aux IXe et Xe siècles d'après le Cartulaire de Saint-Sauveur de Redon et les Gesta des saints de Redon.",,,,,"FRE","Collection",
"461159022","Les Processions de l'Hermitage.",,"impr. Dumas","s. d",,"und","Text","16 p., couv. ill. ; In-16 (17 cm)"
"660074896","City of Baton Rouge (Packet, 1881-1890)",,,,,"und",,
"766277980","Hermitage.",,,,,"und","Sound",
"821399809","Romance of Lancelot du Lac (branches 3. Lancelot; 4. Queste; 5. Mort Artu).",,,"Provided by ARTstor",,"und","Collection",
"1006917","The Hermitage Museum: Painting.","Kuznet︠s︡ov, I︠U︡. (I︠U︡riĭ)","Aurora Art Publishers","[date of publication not identified]",,"eng","Text","29[200] pages chiefly illustrations 17 cm"
"774868401","Antonia Zárate",,"Barcelona : Gudiol","----|s.f",,"spa","Collection",
"752320806","Merton's Red Diary|Thomas Merton's Red Diary",,"Emory University [Institution of higher education], Georgia, 30322, United States",,,"und","Collection",
"174025084","The Hermitage : catalogue of western European painting.",,"Giunti [u.a.]",,,"eng","Text",
"458028853","L'Ermitage de Saint-Lazare et le Bx Grignion de Montfort, histoire, souvenirs, pèlerinage. [Signé : abbé J. Hervé, abbé A. Lemoine.].","Lemoine, Armand, Abbé.","s.n","s.d.]",,"fre","Text","36 p., fig. ; In-8°."
"821377138","Portrait Medallion of Peter the Great and Family",,,"Provided by ARTstor",,"und","Collection",
"892001225","The Hermitage, Zoar, Ohio. (Built 1817)",,"A. Kuecherer",,,"und","Collection","3.5 x 5.5|Postcard"
"636354084","Cziffra plays Chopin, Liszt.",,"Ermitage",,,"und","Sound","1 CD."
"816729476","Les chefs-d'oeuvre de la galerie de tableaux de l'Ermitage à Petrograd. Nouvelle ed... ",,"F. Hanfstaengl","1923","1923","fre","Text","327 p. : ill. ; 24 cm."
"823542465","Tomb of Lieutenant Edward Hines, St. Mary of the Lake Seminary, Mundelein, Illinois",,"The Hermitage Art Company","2009-07-14 dcterms:available","2009","Eng","Collection",
"462939744","The Hermitage Museum, Painting : Leningrad: Aurora, 1972.",,"s.n.]",,,"eng","Text","18 cm., 33 p., pl. en coul., couv. ill. en coul."
"808196396","The Virgin of Belen with St. Paul the hermit and Archangel Raphael; and the hermitage of the Sierra de Cordoba.","Monroy y Aguilera, Diego de, 1790-1856.","[s.n.]",,,"spa","Engravings.|Image","1 print : engraving ; image and border 32.7 x 47 cm."
"767125219","L'hermitage [sic] Berthault à Neuilly ",,,,,"und","Image",
"782851567","Screw Box - Robert Marples, Sheffield, circa 1900-1940",,"Museum Victoria",,,"und","Image",
"821340929","Colt Third Model Dragoon Percussion Revolver",,,"Provided by ARTstor",,"und","Collection",
"123966483","Winter Palace (Saint Petersburg, Russia): Hall of 1812, Tsar Alexander II by George Dawe",,,"20050908",,"eng","Image",
"21425690","The Hermitage, and some chivalrous incidents in the life of ""Old Hickory"". Read before the Mount Vernon Society of Detroit, February 1, 1907.","Baldwin, Gertrude Hovey, Mrs.",,"[date of publication not identified]",,"eng","Text","15 pages"
"784155440","Chemins vers le silence de solitude",,,,,"fre","Collection",
"662716815","The Hermitage",,,,,"und","Image",
"782866355","Medal - Royal Agricultural Society of Victoria, Second Prize, Victoria, Australia, 1902",,"Museum Victoria",,,"und","Image",
"690757012","Jardin potager à l'Hermitage",,,,,"und","Collection",
"704955888","Among Great Mountain Peaks and Glaciers. -- The Hermitage, Mt. Cook (12,349 ft.), South Island",,"New Zealand Government Railways Department",,,"und","Image",
"61289337","Hermitage Plantation",,,,,"zxx","Image",
"660075526","City of Baton Rouge (Packet, 1881-1890)",,,,,"und",,
"156897399","Handbook of Russian Verbal Government.","Miller, Frank.","Hermitage Press",,,"eng","Text",
"123966238","Winter Palace (Saint Petersburg, Russia): Plaster detail",,,"20050908",,"eng","Image",
"75378739","Les brigands du vieux château, ou le souterrain de l'ermitage de Gitschinn",,"Caillot",,,"ger","Text",
"680347229","Hermitage of San Baudelio, interior, painting, A Hare Hunt","; Berlanga de duero, Spain","College of Arts, Sciences, and Letters (UM-Dearborn)","mid-12C",,"UND",,"5 ft. 11 3/4 in. x 11 ft. 9 in.; fresco transferred to canvas on canvas"
