id,title,creator,publisher,date,year,language,type,format,keywords
"1004526","The Hermitage Museum; a short guide.","Gosudarstvennyĭ Ėrmitazh (Russia)","Foreign Languages Pub. House","1955","1955","eng","Pamphlets.|Text","140 pages illustrations (some color) 20 cm","Soviet Union.|Human Behavior and Customs.|Arts.|Collections and Exhibits.|Directories, Guides, etc.|Foreign Languages Publishing House.|Moscow, Soviet Union.|708.7|N3350 .A6163|Art--Russia (Federation)--Saint Petersburg--Catalogs."
"1006917","The Hermitage Museum: Painting.","Kuznet︠s︡ov, I︠U︡. (I︠U︡riĭ)","Aurora Art Publishers","[date of publication not identified]",,"eng","Text","29[200] pages chiefly illustrations 17 cm","N3350 .K87|Gosudarstvennyĭ Ėrmitazh (Russia)"
"10099678","Römische Sarkophage ",,"Akademie-Verlag","1979-","1979","ger","Text","volumes &lt;1&gt; : illustrations ; 30 cm","733/.5/074|NB143 .R65 1979|Sarcophagi, Roman--Catalogs."
"1016088","Le musée de l'Ermitage, Leningrad","Levinson-Lessing, V. F.","[Centre national de recherches ""Primitifs flamands""]","1965","1965","fre","Text","68 pages 125 plates (4 color) 29 cm.","759.9|ND672 .L63|Painting, Flemish.|Painting--Russia (Federation)--Saint Petersburg."
"10164129","Musée de l'Ermitage à Léningrad. 30 tableaux des écoles flamande, hollandaise et française.","Gosudarstvennyĭ Ėrmitazh (Russia)","Léningrad, Éditions d'état, l'art","1938","1938","fre","Text","7, [1] pages 30 color plates 37 cm.","Painting, Dutch.|Painting, Flemish.|Painting, French."
"10176936","Farforovyi︠a︡ tabakerki Imperatorskago Ėrmitazha = Tabatières en porcelaine à l'Ermitage impérial ",,"Izd. zhurnala ""Starye gody""","1915","1915","rus","Text","75 pages : illustrations ; 25 cm","774.47 L547f|Snuff boxes and bottles.|Art objects, Russian."
"10209730","Byzantinische Antike. Studien auf Grund der Silbergefässe der Ermitage,","Matzulevich, Leonid.","W. de Gruyter &amp; Co","1929","1929","ger","Text","xi, [1], 150 pages illustrations, 50 plates 35 cm.","709.16|N3310 .A8 Bd. 2|NK7165 .M45|Silverwork.|Art objects, Byzantine."
"10216521","Scritti in onore di Bartolomeo Nogara, raccolti in occasione del suo LXX anno.",,,"1937","1937","ita","Text","xiii pages, 1 leaf, 542 pages, 2 leaves frontispiece (portrait) illustrations, LXXVI plates (including plan, facsimile) 33 cm","913.38|DE3.5 .S3|Nogara, Bartolomeo, 1868-1954.|Classical antiquities.|Etruria--Antiquities."
"10320849","Spätantike und früh-byzantinische Silbergefässe aus der Staatlichen Ermitage Leningrad ",,"Staatliche Museen zu Berlin/DDR","1978","1978","ger","Text","187 pages, 18 leaves of plates : illustrations (some color) ; 23 cm","739.3701|NK4708.8 .S62 1978|Gosudarstvennyĭ Ėrmitazh (Russia)--Catalogs.|Silverwork, Byzantine--Exhibitions.|Silverwork, Byzantine--Germany--Berlin--Exhibitions."
"10324095","Kulʹtura i iskusstvo antichnogo mira : ocherk-putevoditelʹ |Культура и искусство античного мира : очерк-путеводитель ","Neverov, O. (Oleg)|Неверов, О. (Олег)","""Iskusstvo, "" Leningradskoe otd-nie|""Искусство, "" Ленинградское отд-ние","1981","1981","rus","Text","185, [2] pages : chiefly illustrations (some color) ; 20 cm","Государственный Эрмитаж (Russia)|709/.014|N5604.S65 L466 1981|Gosudarstvennyĭ Ėrmitazh (Russia)|Art, Classical.|Art--Russia (Federation)--Saint Petersburg."
"10359445","Teatral'noe prostranstvo vo Florent︠s︡ii XV-XVII vekov : zrelishcha i muzyka vo Florent︠s︡ii epokhi medichi : dokumenty i rekonstrukt︠s︡ii : Brunelleski, Vazari, Buontalenti, Paridzhi.|Luogo teatrale a Firenze nei secoli dal XV al XVII",,"Sovetskiĭ khudozhnik","1978","1978","rus","Text","18 pages : illustrations (some color) ; 22 x 29 cm","PN2686.F5 T25|Performing arts--Italy--Florence--Exhibitions."
"10409186","[The State Hermitage. West-European painting. Album of reproductions.","Gosudarstvennyĭ Ėrmitazh (Russia)","State Fine Arts Pub. House]","1957-1958","1957","eng","Text","2 volumes plates 27 cm","N3350 .A65 1957|Painting--Russia (Federation)--Saint Petersburg."
"10459646","Musée de l'Ermitage: peinture, dessins.","Gosudarstvennyĭ Ėrmitazh (Russia)","Nouvelles Éditions françaises","[1964]","1964","fre","Text","28 pages, 45 (i.e. 180) pages of illustrations (part mounted color)","Ermitage (Musée de), Leningrad, Collections.|N3350 .A617|Gosudarstvennyi Ermitazh (Russia)--Catalogs."
"10469063","Frant︠s︡uzskai︠a︡ zhivopisʹ pervoĭ poloviny i serediny XIX veka v Ėrmitazhe : nauchnyĭ katalog ","Berezina, V. (Valentina)","Iskusstvo","1983","1983","rus","Text","241 pages : illustrations, portraits ; 25 cm","ND547 .B48 1983|Painting, French--Catalogs.|Painting, French--19th century."
"104838290","La peintre française du XIXe siècle : de David à Fantin-Latour ","Gosudarstvennyĭ Ėrmitazh (Russia)","Éditions d'art Aurore","1972","1972","fre","Text","220 p.",
"104838417","Contemporary Japanese paintings from the Yamatane museum ",,"The Museum","1976","1976","rus","Text","[27] p.",
"10487914","Itaʹli︠a︡nskai︠a︡ zhivopisʹ trinadt︠s︡atogo-vosemnadt︠s︡atogo vekov v sobranii Ėrmituzha.","Vsevolozhskai︠a︡, Svetlana Nikolaevna.","Sovetskiĭ khudozhnik","1964","1964","rus","Text","xv, 313 pages : 199 illustrations (some color) ; 30 cm","ND614.V75|Painting, Italian."
