total listes,nom,couleur politique
1,100% CITOYEN,DVD
1,3 Millions de raisons avec Christophe GRUDLER,MDM
1,A CORSICA IN CUMUNU - PCF - FRONT DE GAUCHE,FG
1,A FOND MA REGION AVEC FRANCOIS BONNEAU,UG
1,Alliance écologiste indépendante,ECO
1,ALLIANCE ECOLOGISTE INDEPENDANTE DE BOURGOGNE ET FRANCHE-COMTE,ECO
1,ALTERNATIVE POPULAIRE ET CITOYENNE,DVG
1,Au service de tous les Normands,UG
1,AUX URNES CITOYENS,DVD
1,"Avec Claude Bartolone, une Ile-de-France humaine",UG
1,Avec Xavier Bertrand notre région au travail,UD
1,BA PEYI-A AN CHANS,LR
1,BRETAGNE EN LUTTES BREIZH O STOURM,EXG
1,Ca Va Changer,UD
1,"Centre - Val de Loire, la Renaissance !",UD
1,"CHANGEONS D'AIR, LE RASSEMBLEMENT ECOLOGISTE ET CITOYEN",VEC
1,CHANGEZ D'AVENIR,DVG
1,Choisir nos Régions et Réunifier la Bretagne,REG
1,CITOYENS DU MIDI,DVG
1,CITOYENS TIRES AU SORT,DIV
2,COMBAT OUVRIER,EXG
1,COMMUNISTES,EXG
1,CORSICA LIBERA,REG
1,Cultiver la Guyane,DVG
1,DEBOUT LA FRANCE,DLF
2,Debout la France avec Nicolas Dupont-Aignan,DLF
2,DEBOUT LA FRANCE AVEC NICOLAS DUPONT AIGNAN,DLF
8,DEBOUT LA FRANCE AVEC NICOLAS DUPONT-AIGNAN,DLF
1,DEBOUT LA REUNION AVEC NICOLAS DUPONT-AIGNAN,DLF
1,"ECOLOGISTES, CITOYENS ET SOLIDAIRES",VEC
1,"ÉCOLOGISTES, SOLIDAIRES ET CITOYENS",VEC
1,"ENSEMBLE, FAISONS AVANCER LA REUNION",MDM
1,ENSEMBLE POUR UNE MARTINIQUE NOUVELLE,DVG
1,FAISONS ENSEMBLE,DVG
1,FEMU A CORSICA SIMEONI ANGELINI,REG
1,F.L.U.O. (Fédération Libertaire Unitaire Ouverte),DIV
1,FORCE FRANCE SUD LA REGION LA FRANCE LA VIE,EXD
1,"+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET",UG
1,FRONT NATIONAL CORSE AVEC MARINE LE PEN,FN
1,GENERATION NOUVELLE REGION,UD
1,Grand Sanblé pour faire réussir la Martinique,REG
1,GUADELOUPE SOLIDAIRE,LR
1,"Guyane, de toutes nos forces !",DVG
1,Indignez-vous avec NOUVELLE DONNE,DVG
1,JE M'ENGAGE POUR MA REGION,UD
1,JOSE ROSSI 2015,LR
1,La Corse qui ose - Corsic'Ardita,SOC
1,La force pour bâtir la Guyane,LR
1,La France plein Sud !,FN
1,LA GARANTIE REPUBLICAINE,RDG
1,LA GUADELOUPE - TOUJOURS MIEUX,SOC
1,La Guyane en prospective,DVG
1,LA LISTE DEPARTEMENTALE,DVD
1,L'alternance avec Valérie Pécresse,UD
1,L'ALTERNATIVE À GAUCHE,FG
1,LA MARTINIQUE AUTREMENT,UDI
1,LA NORMANDIE CONQUERANTE AVEC HERVÉ MORIN,UD
1,"LA REGION COOPERATIVE, SOCIALE,  ECOLOGISTE ET CITOYENNE, AVEC SOPHIE CAMARD ET JEAN-MARC COPPOLA",VEG
1,LA REGION EN GRAND,UD
1,Le Bien Commun,ECO
1,LE CHOIX DE LA BRETAGNE,UD
1,LE RASSEMBLEMENT BLEU MARINE,FN
1,"LE RASSEMBLEMENT ! Choisir une région citoyenne, écologique et solidaire",VEG
1,"LE RASSEMBLEMENT CITOYEN, ECOLOGIQUE ET SOLIDAIRE",VEG
1,LES ÉCOLOGISTES DE BOURGOGNE FRANCHE-COMTÉ,VEC
1,LES VRAIS ENJEUX POUR LA REUNION,DIV
1,l'Humain d'abord,COM
