region,sigle
Guyane          ,GUY
La Réunion      ,REU
Île-de-France   ,IDF
Centre-Val de Loire,CVL
Bourgogne - Franche-Comté,BFC
Normandie               ,NORM
Nord-Pas-de-Calais - Picardie,NPCP
Alsace - Champagne-Ardenne - Lorraine,ACAL
Pays de la Loire                                                                                                                                                                                                    ,PL
Bretagne        ,BRET
Aquitaine - Limousin - Poitou-Charentes,ALPC
Languedoc-Roussillon - Midi-Pyrénées,LRMP
Auvergne - Rhône-Alpes  ,ARA
Provence-Alpes-Côte d'Azur   ,PACA
Corse           ,CORS
Guadeloupe      ,GUAD
Martinique      ,MART
