id,name,address,postcode,city,category,tags,creationyear,description
"42","42","96 boulevard Bessières","75017","Paris","École","développeur|heartofcode","2013","42 est une école gratuite, financée par la fondation Free, qui développe une méthodologie d'apprentissage par projet pour former de jeunes talents aux métiers informatiques et à la programmation."
"1913","1913","141 rue Raymond Losserand","75014","Paris","Entreprise","télécoms","2005","La société 1913 est spécialisée dans les besoins télécom et communications d'entreprise."
"1001-menus","1001 Menus","23 rue de Clery","75002","Paris","Entreprise","B2B|restauration","2010","1001 Menus propose une plate-forme web et mobile pour centraliser la communication digitale des restaurants."
"123-venture","123 Venture","94 rue de la Victoire","75009","Paris","Investisseur","capital risque|mezzanine","2000","123Venture est une société de gestion indépendante avec plus de 1.000M€ investis dans le capital-investissement et l'immobilier."
"1up","1UP","1 avenue Jean Jaures",95100,"Argenteuil ","Entreprise","gestion de projet|maintenance IT",2012,"1UP est un cabinet de conseil en gestion de projet. Elle propose ses services en maintenance IT, en maitrise d'oeuvre pour la création d'un applicatif et sur les serious games."
"1x1connect","1X1connect","5 rue Cochin","75005","Paris","Entreprise","interactif|marketing","2010","1x1 connect développe différents outils de marketing d’interaction web pour des sites média, e-commerce ou des marques."
"292-contents","292 Contents","22 rue de Pontoise","75005","Paris","Entreprise","édition|ebook|transmédia","2010","292 Contents est un producteurs de livres pour le troisième millénaire."
"2b-consulting-sas","2B CONSULTING SAS","35 RUE DU VAL DE MARNE","75013","PARIS","Entreprise","systèmes d’information|conseil","1998","2B Consulting conçoit et met en oeuvre depuis sa création des solutions décisionnelles globales et de pilotage de la performance (simulation, planification, scorecarding, etc...)"
"2csi","2CSI","8 place du Ponceau","95000","Cergy","Entreprise","ambition-pme","1995","Editeur ERP de Santé"
"3600-capital-partners","360° Capital Partners","16 boulevard Poissonnière","75009","Paris","Investisseur","capital risque",,"360° Capital Partners regroupe des investisseurs dynamiques et agiles, profondément passionnés par la création de sociétés durables et offrant aux entrepreneurs un soutien de tous les instants."
"360learning","360Learning","67 avenue Raymond Poincaré","75016","Paris","Entreprise","formation","2009","360Learning est la solution e-learning innovante pour les organisations en croissance : petites et grandes entreprises, organismes de formation et établissements d'enseignement supérieur."
"3d-counting","3D Counting","107 rue du Cherche-Midi","75006","Paris","Entreprise",,"2011","La société 3D Counting a conçu et développé une technologie à base de caméras 3D, inégalée en France et en Europe, fonctionnant en stéréovision permettant ainsi de garantir une fiabilité des données de comptage récoltées supérieure à 99%."
"3li-business-solutions","3LI BUSINESS SOLUTIONS","9 23 RUE PAUL LAFARGUE","93210","LA PLAINE ST DENIS","Entreprise","B2B|éditeur de logiciels|conseil","2003","3Li est une entreprise de service spécialisée dans l’édition de solutions ERP et CRM verticales. Elle propose une gamme complète de prestations: analyse, conseil, développement, adaptation, formation, assistance et suivi de projets."
"3s-informatique","3S Informatique","5, rue Ernest Renan","92130","Issy-Les-Moulineaux","Entreprise","ocds","2004","3S Informatique intervient dans la conception, le développe- ment, l'exploitation et la maintenance de solutions informatiques."
"3s-photonics","3S Photonics","Route de Villejust","91625","Nozay","Entreprise","télécoms","2007","3S PHOTONICS conçoit, développe, fabrique et commercialise des composants actifs à partir de ses propres puces optoélectroniques III-V et des composants passifs issus d'une technologie à base de réseaux de Bragg sur fibres optiques."
"3w-academy","3W Academy","46 rue René Clair","75018","Paris","École","formation|développeur|intégrateur","2012","3W Academy forme des développeurs- intégrateurs web. Les technologies HTML/CSS/Javascript/PHP/MySQL sont maîtrisées par la pratique. C'est court, intensif, ciblé, fait par des pros, tiré par la demande du marché. Symfony 2 est également au menu..."
"42-consulting","42 CONSULTING","2 BIS AVENUE FOCH","94160","SAINT MANDE","Entreprise","b2b|opensource","2006","42 Consulting est un cabinet de conseil et d'ingénierie informatique. Il accompagne le développement et la mise en œuvre de leurs systèmes d'informations."
"44-screens","44 SCREENS","47 Bld de la Villette",75010,"PARIS","Entreprise","applications mobiles|tourisme|réseaux sociaux|ssii|culture",2013,"44screens (Paris, Madrid, Montréal) crée des applications qui permettent de découvrir des lieux touristiques et historiques à travers des intrigues et le jeu, intégrant la réalité augmentée 3D issus de programmes de coopération internationale de R&D"
"4d","4D","60 rue d’Alsace","92110","Clichy","Entreprise","opensource","1985","Le groupe 4D propose aux développeurs et aux entreprises une plateforme logicielle intégrée permettant d’accélérer et de simplifier le développement et le déploiement d’applications Desktop, Client-Serveur et de Business Web Apps."
"4dconcept","4DCONCEPT","41 43 AVENUE DU CENTRE","78180","MONTIGNY LE BRETONNEUX","Entreprise","b2b|conseil","2010","Entreprise dédiés à la gestion de contenus éditoriaux ou techniques, pour créer, transformer, pérenniser et diffuser vos contenus, sur tout média digital, mobile ou papier."
"4mtec","4MTEC","40 RUE BARBES","92120","MONTROUGE","Entreprise","B2B|aéronautique|systèmes d'information","2003","4MTec accompagne dans la conception, le développement et l'industrialisation des produits en leur offrant l'accès : aux compétences des ingénieurs français, d'Europe de l'Est et des grands pays occidentaux et aux sites de production."
"4n-media-group","4n Media Group","80 rue des Haies","75020","Paris","Entreprise","elearning|mobile","2007","4n Media Group édite une solution mobile d’apprentissage des langues étrangères par l’actualité."
"50-partners","50 Partners","62 rue Jean-Jacques Rousseau","75001","Paris","Incubateur",,"2012","Espace de Coworking : location de postes à conditions très flexibles et entrepreneuriales (www.leloft50partners.com) et Incubateur de Startups : mentoring par 50 entrepreneurs stars, bureaux, écosystème, financement (www.50partners.fr)"
"50a","50A","32 rue de l'Echéquier","75010","Paris","Entreprise","communication|b2b",,"50A accompagne les grands comptes, les PME et les fédérations dans la conception et la mise en oeuvre de leur stratégie de communication digitale."
"5e-rue","5e Rue","36 rue Sedaine","75011","Paris","Entreprise","websocial|innovation|B2B","2010","5e Rue est un agenceur digital qui conseille et accompagne les entreprises et les institutions sur les enjeux d'image, de business et d'organisation soulevés par le web social."
"5m-ventures","5M Ventures","28 place de la Bourse","75002","Paris","Investisseur","B2C|mediaforequity",,"Fonds de ""Media for Equity"", 5M Ventures propose à des sociétés B2C en forte croissance de l'espace publicitaire dans des médias de premier plan en échange d'une ouverture de leur capital."
"6wind","6Wind","1 Place Charles de Gaulle Immeuble Central Gare Bât C","78180","Montigny-Le-Bretonneux","Entreprise","télécoms","2001","Logiciels réseaux IP embarqués, OEM"
"99metrics","99Metrics","13 rue de Marivaux","75009","Paris","Entreprise","seo|référencement|marketing","2012","99Metrics aide les startups web à augmenter leurs revenus sur Internet en particulier sur l'acquisition d'audience, la conversion en client puis la rétention."
"@fbourboulon-conseil","@fbourboulon Conseil","5 rue d'Alger","75001","Paris","Entreprise","éditorial|conseil|b2b","2013","Conseil en stratégies de contenus numériques."
"a-systems","A-SYSTEMS","41 RUE DES CHANTIERS",78000,"VERSAILLES","Entreprise","b2b|éditeur de logiciels|formation",2001,"Entreprise éditeur de logiciels qui propose: La formation sur nos logiciels
Le développement de nouveaux modèles d’optimisation
La maintenance et la mise à jour des programmes."
